Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town
Castilla León,Palencia,Bárcena de Campos,42.4837,-4.498671,845.1735,54,25,29,POINT (-4.498671 42.4837),CAMPOS,Bárcena de Campos
Castilla León,Palencia,Barruelo de Santullán,42.90768,-4.28723,1051.277,1418,714,774,POINT (-4.28723 42.90768),AGUILAR,Barruelo de Santullán
Castilla León,Palencia,Báscones de Ojeda,42.670770000000005,-4.527061,962.8129,165,95,79,POINT (-4.527061 42.67077),BOEDO-OJEDA,Báscones de Ojeda
Castilla León,Palencia,Becerril de Campos,42.10857,-4.639876,769.5222,921,488,474,POINT (-4.639876 42.10857),CAMPOS,Becerril de Campos
Castilla León,Palencia,Belmonte de Campos,41.94308,-4.987806,743.8493,31,17,18,POINT (-4.987806 41.94308),CAMPOS,Belmonte de Campos
Castilla León,Palencia,Berzosilla,42.78024,-4.038914,826.7042,51,22,27,POINT (-4.038914 42.78024),AGUILAR,Berzosilla
Castilla León,Palencia,Boada de Campos,41.989540000000005,-4.877423,748.0,20,12,8,POINT (-4.877423 41.98954000000001),CAMPOS,Boada de Campos
Castilla León,Palencia,Boadilla de Rioseco,42.179159999999996,-4.968832,783.1019,130,73,60,POINT (-4.968832 42.17916),CAMPOS,Boadilla de Rioseco
Castilla León,Palencia,Boadilla del Camino,42.25846,-4.347185,782.6569999999999,115,71,59,POINT (-4.347185 42.25846),CAMPOS,Boadilla del Camino
Castilla León,Palencia,Brañosera,42.93497,-4.308174,1200.068,235,143,116,POINT (-4.308174 42.93497),AGUILAR,Brañosera
Castilla León,Palencia,Buenavista de Valdavia,42.63752,-4.614254,926.9855,380,199,187,POINT (-4.614254 42.63752),SALDAÑA-VALDAVIA,Buenavista de Valdavia
Castilla León,Palencia,Bustillo de la Vega,42.45601,-4.740725,885.0,319,168,154,POINT (-4.740725 42.45601),SALDAÑA-VALDAVIA,Bustillo de la Vega
Castilla León,Palencia,Bustillo del Páramo de Carrión,42.35588,-4.738232,854.3857,64,42,30,POINT (-4.738232 42.35588),SALDAÑA-VALDAVIA,Bustillo del Páramo de Carrión
Castilla León,Palencia,Calahorra de Boedo,42.5752,-4.386165,868.8841,116,59,50,POINT (-4.386165 42.5752),BOEDO-OJEDA,Calahorra de Boedo
Castilla León,Palencia,Calzada de los Molinos,42.32693,-4.652051999999999,827.0596,353,203,154,POINT (-4.652051999999999 42.32693),CAMPOS,Calzada de los Molinos
Castilla León,Palencia,Capillas,42.013529999999996,-4.890835,760.7122,88,49,50,POINT (-4.890835 42.01353),CAMPOS,Capillas
Castilla León,Palencia,Cardeñosa de Volpejera,42.23212,-4.701925,827.3951,50,21,18,POINT (-4.701925 42.23212),CAMPOS,Cardeñosa de Volpejera
Castilla León,Palencia,Carrión de los Condes,42.33895,-4.601765,837.2867,2205,1125,1177,POINT (-4.601765 42.33895),CAMPOS,Carrión de los Condes
Castilla León,Palencia,Castil de Vela,41.98415,-4.958809,759.6097,69,37,42,POINT (-4.958809 41.98415),CAMPOS,Castil de Vela
Castilla León,Palencia,Castrejón de la Peña,42.8079,-4.599901999999999,1121.003,454,256,230,POINT (-4.599901999999999 42.8079),CERVERA,Castrejón de la Peña
Castilla León,Palencia,Castrillo de Don Juan,41.792,-4.069573,830.5445,243,141,130,POINT (-4.069573 41.792),EL CERRATO,Castrillo de Don Juan
Castilla León,Palencia,Castrillo de Onielo,41.85771,-4.301824,821.9319,120,63,59,POINT (-4.301824 41.85771),EL CERRATO,Castrillo de Onielo
Castilla León,Palencia,Castrillo de Villavega,42.45428,-4.480228,851.3707,207,108,94,POINT (-4.480228 42.45428),CAMPOS,Castrillo de Villavega
Castilla León,Palencia,Castromocho,42.03073,-4.823366,758.2964,250,126,116,POINT (-4.823366 42.03073),CAMPOS,Castromocho
Castilla León,Palencia,Cervatos de la Cueza,42.29036,-4.769318,853.0574,312,174,137,POINT (-4.769318 42.29036),CAMPOS,Cervatos de la Cueza
Castilla León,Palencia,Cervera de Pisuerga,42.865759999999995,-4.499135,1007.8580000000001,2563,1294,1272,POINT (-4.499135 42.86575999999999),CERVERA,Cervera de Pisuerga
Castilla León,Palencia,Cevico de la Torre,41.8524,-4.410702,754.6013,499,265,258,POINT (-4.410702 41.8524),EL CERRATO,Cevico de la Torre
Castilla León,Palencia,Cevico Navero,41.86105,-4.1839830000000005,829.4386,220,123,111,POINT (-4.183983 41.86105),EL CERRATO,Cevico Navero
